MyApp OnInit started  Sun Jun 15 22:49:47 2025
Read productId  Sun Jun 15 22:50:12 2025
BK02  Sun Jun 15 22:50:12 2025
Reached EOF after reading books  Sun Jun 15 22:50:12 2025
Reached EOF after reading   Sun Jun 15 22:50:12 2025
Read productId  Sun Jun 15 22:50:12 2025
BK09  Sun Jun 15 22:50:12 2025
Reached EOF after reading books  Sun Jun 15 22:50:12 2025
Reached EOF after reading   Sun Jun 15 22:50:12 2025
Read productId  Sun Jun 15 22:50:12 2025
BK07  Sun Jun 15 22:50:12 2025
Reached EOF after reading books  Sun Jun 15 22:50:12 2025
Reached EOF after reading   Sun Jun 15 22:50:12 2025
Reached EOF after reading books  Sun Jun 15 22:50:12 2025
Reached EOF after reading   Sun Jun 15 22:50:12 2025
Reached EOF after reading books  Sun Jun 15 22:50:12 2025
Reached EOF after reading   Sun Jun 15 22:50:12 2025
Read productId  Sun Jun 15 22:50:12 2025
BK02  Sun Jun 15 22:50:12 2025
Reached EOF after reading books  Sun Jun 15 22:50:12 2025
Reached EOF after reading   Sun Jun 15 22:50:12 2025
Read productId  Sun Jun 15 22:50:12 2025
BK09  Sun Jun 15 22:50:12 2025
Reached EOF after reading books  Sun Jun 15 22:50:12 2025
Reached EOF after reading   Sun Jun 15 22:50:12 2025
Read productId  Sun Jun 15 22:50:12 2025
BK07  Sun Jun 15 22:50:12 2025
Reached EOF after reading books  Sun Jun 15 22:50:12 2025
Reached EOF after reading   Sun Jun 15 22:50:12 2025
Reached EOF after reading books  Sun Jun 15 22:50:12 2025
Reached EOF after reading   Sun Jun 15 22:50:12 2025
Null Active Customer MainFrame::OnLoginSuccess()  Sun Jun 15 22:50:12 2025
